id,position,goal,steps,moves,distance,mate,forcing,nonforcing,winning,threat_ignored,threat_at_line_end,quiet,blocks,decisive_steps,root_pieces
2919d4d9ceae,10005804d4d28:c0004500b2d5,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,28
5ed209567fe9,60120112019051:10010060006c432c,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,27
349bb311f9b5,380021948c043:1008114980031908,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,28
8e33dae118dc,22104100819854:10000022906a00ab,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
ea5288f0ba93,82108800480ab40:800021092114b3,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,27
7836b3890fac,1482920206c08:824004c0990a3,win,5,9,9,mate in 5,3,2,1,1,0,0,0,5,27
669d33d15e34,18841020094cc:100012009c416a01,win,4,7,7,mate in 4,2,2,1,1,0,0,0,4,27
9bc8786a7070,91000844b880a:14000c09180014c1,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
105583261f89,20940004008e143:4000024b82431208,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
c8fdbcfc1e2c,4500450808385:10018081830d5008,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
8c0a25678c23,9002015023686:8980a98139,win,3,5,5,mate in 3,1,2,1,1,0,0,1,2,28
ac46ce96de26,409c08088414a:409479895,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
3d0f9478ad00,9509100055082:10800008d098801d,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
2e66b84c0d80,5821110041219:10000483518964,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
77b989e070ef,218880890099101:800002100b140a1e,win,8,15,27,mate in 14,2,6,1,0,0,5,3,5,28
fc05dff09fb6,109100890001e88:1000050105498161,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
6ec9af9e1dce,29a400b0005418:294429a825,win,3,5,7,mate in 4,1,2,1,1,0,0,0,3,28
260b564efcdb,209800a11039802:800212018208038d,win,2,3,3,mate in 2,0,2,1,1,0,0,1,1,28
